uid,analyte,analyteUnits,sampleType,qaReferenceID,analyteKnownValue,analyteObservedValue,analyteAbsoluteError,analyteAccuracy,analyteStandardDeviation,analyteMetricsCount,qaReportingStartDate,qaReportingEndDate,laboratoryName,instrument,testMethod,method,dataQF,publicationDate,release
4408515e-3519-40d0-b108-71afd1d76dee,carbonPercent,percent,soil,UWSIF-46-Soil3,1.13,1.13,0.04,-0.002,0.05,164,2017-09-25,2017-12-31,University of Wyoming Stable Isotope Facility,Costech 4010 Elemental Analyzer coupled to a Thermo Delta Plus XP IRMS,010 (combustion/reduction organics),"Schepers et al. (1989) Simultaneous determination of total C, total N, and 15N on soil and plant material. Communications in Soil Science and Plant Analysis 20(9-10), 949-959.",,20240104T225302Z,RELEASE-2024
86eb8cc5-6fbc-40f4-95c5-bc4ab27db477,d15N,permill,vegetation,UWSIF-05-Alfalfa,0.19,0.18,0.07,-0.01,0.02,1189,2018-01-01,2018-12-31,University of Wyoming Stable Isotope Facility,Costech 4010 Elemental Analyzer coupled to a Thermo Delta Plus XP IRMS,010 (combustion/reduction organics),"Schepers et al. (1989) Simultaneous determination of total C, total N, and 15N on soil and plant material. Communications in Soil Science and Plant Analysis 20(9-10), 949-959.",,20240104T225302Z,RELEASE-2024
24bcf222-3e22-40c8-b449-b32673f1fce2,d13C,permill,soil,UWSIF-45-Soil2,-26.9,-26.68,0.22,0.22,0.14,214,2015-01-01,2015-12-31,University of Wyoming Stable Isotope Facility,Costech 4010 Elemental Analyzer coupled to a Thermo Delta Plus XP IRMS,010 (combustion/reduction organics),"Schepers et al. (1989) Simultaneous determination of total C, total N, and 15N on soil and plant material. Communications in Soil Science and Plant Analysis 20(9-10), 949-959.",,20240104T225302Z,RELEASE-2024
a5510f4f-3a85-494f-b43e-99311e59bb23,carbonPercent,percent,soil,UWSIF-46-Soil3,1.13,1.17,0.04,0.03,0.04,46,2020-01-01,2020-09-14,University of Wyoming Stable Isotope Facility,Costech 4010 Elemental Analyzer coupled to a Thermo Delta Plus XP IRMS,010 (combustion/reduction organics),"Schepers et al. (1989) Simultaneous determination of total C, total N, and 15N on soil and plant material. Communications in Soil Science and Plant Analysis 20(9-10), 949-959.",,20240104T225302Z,RELEASE-2024
7b7ae55d-c8ce-4a95-9063-90e1f07113f7,d13C,permill,vegetation,UWSIF-47-Alfalfa,-28.49,-28.5,0.14,-0.02,0.17,479,2022-02-12,2022-12-31,University of Wyoming Stable Isotope Facility,Costech 4010 Elemental Analyzer coupled to a Thermo Delta Plus XP IRMS,010 (combustion/reduction organics),"Schepers et al. (1989) Simultaneous determination of total C, total N, and 15N on soil and plant material. Communications in Soil Science and Plant Analysis 20(9-10), 949-959.",,20240104T225302Z,RELEASE-2024
4da10753-75be-4acb-8376-0fd9e441bf5d,carbonPercent,percent,vegetation,UWSIF-05-Alfalfa,42.61,43.05,0.64,0.44,0.69,1189,2018-01-01,2018-12-31,University of Wyoming Stable Isotope Facility,Costech 4010 Elemental Analyzer coupled to a Thermo Delta Plus XP IRMS,010 (combustion/reduction organics),"Schepers et al. (1989) Simultaneous determination of total C, total N, and 15N on soil and plant material. Communications in Soil Science and Plant Analysis 20(9-10), 949-959.",,20240104T225302Z,RELEASE-2024
950e56d2-b975-4c44-a198-682b71da7b3a,d15N,permill,soil,UWSIF-46-Soil3,6.12,6.09,0.13,-0.03,0.17,171,2022-01-01,2022-12-31,University of Wyoming Stable Isotope Facility,Costech 4010 Elemental Analyzer coupled to a Thermo Delta Plus XP IRMS,010 (combustion/reduction organics),"Schepers et al. (1989) Simultaneous determination of total C, total N, and 15N on soil and plant material. Communications in Soil Science and Plant Analysis 20(9-10), 949-959.",,20240104T225302Z,RELEASE-2024
086ba126-f173-4e98-9c04-c8d632deddd0,d13C,permill,soil,UWSIF-46-Soil3,-23.53,-23.59,0.12,-0.06,0.15,526,2018-01-01,2018-12-31,University of Wyoming Stable Isotope Facility,Costech 4010 Elemental Analyzer coupled to a Thermo Delta Plus XP IRMS,010 (combustion/reduction organics),"Schepers et al. (1989) Simultaneous determination of total C, total N, and 15N on soil and plant material. Communications in Soil Science and Plant Analysis 20(9-10), 949-959.",,20240104T225302Z,RELEASE-2024
fddd3497-7a56-43b7-8791-75a1da6e838d,d13C,permill,soil,UWSIF-46-Soil3,-23.53,-23.55,0.15,-0.02,0.2,201,2022-01-01,2022-12-31,University of Wyoming Stable Isotope Facility,Costech 4010 Elemental Analyzer coupled to a Thermo Delta Plus XP IRMS,010 (combustion/reduction organics),"Schepers et al. (1989) Simultaneous determination of total C, total N, and 15N on soil and plant material. Communications in Soil Science and Plant Analysis 20(9-10), 949-959.",,20240104T225302Z,RELEASE-2024
0af2118b-c8b5-41d1-9426-780ca175a531,d15N,permill,soil,UWSIF-46-Soil3,6.12,6.15,0.18,0.03,0.23,194,2019-01-01,2019-12-31,University of Wyoming Stable Isotope Facility,Costech 4010 Elemental Analyzer coupled to a Thermo Delta Plus XP IRMS,010 (combustion/reduction organics),"Schepers et al. (1989) Simultaneous determination of total C, total N, and 15N on soil and plant material. Communications in Soil Science and Plant Analysis 20(9-10), 949-959.",,20240104T225302Z,RELEASE-2024
37e527cd-5839-409f-ba2e-8cfef569e3db,carbonPercent,percent,soil,UWSIF-46-Soil3,1.13,1.16,0.04,0.03,0.05,171,2022-01-01,2022-12-31,University of Wyoming Stable Isotope Facility,Costech 4010 Elemental Analyzer coupled to a Thermo Delta Plus XP IRMS,010 (combustion/reduction organics),"Schepers et al. (1989) Simultaneous determination of total C, total N, and 15N on soil and plant material. Communications in Soil Science and Plant Analysis 20(9-10), 949-959.",,20240104T225302Z,RELEASE-2024
e21b1506-aefd-47b7-b2eb-4719625ab077,nitrogenPercent,percent,vegetation,UWSIF-47-Alfalfa,2.76,2.73,0.05,-0.03,0.06,494,2022-02-12,2022-12-31,University of Wyoming Stable Isotope Facility,Costech 4010 Elemental Analyzer coupled to a Thermo Delta Plus XP IRMS,010 (combustion/reduction organics),"Schepers et al. (1989) Simultaneous determination of total C, total N, and 15N on soil and plant material. Communications in Soil Science and Plant Analysis 20(9-10), 949-959.",,20240104T225302Z,RELEASE-2024
0cc2a731-8ea8-4aeb-93f5-8d8cbe623ee1,carbonPercent,percent,vegetation,UWSIF-05-Alfalfa,42.61,42.6,0.83,-0.01,0.95,531,2016-01-01,2016-12-31,University of Wyoming Stable Isotope Facility,Costech 4010 Elemental Analyzer coupled to a Thermo Delta Plus XP IRMS,010 (combustion/reduction organics),"Schepers et al. (1989) Simultaneous determination of total C, total N, and 15N on soil and plant material. Communications in Soil Science and Plant Analysis 20(9-10), 949-959.",,20240104T225302Z,RELEASE-2024
2da0ffe8-b735-4d70-9cf5-a7a19c4d273e,carbonPercent,percent,soil,UWSIF-46-Soil3,1.13,1.15,0.03,0.02,0.04,212,2019-01-01,2019-12-31,University of Wyoming Stable Isotope Facility,Costech 4010 Elemental Analyzer coupled to a Thermo Delta Plus XP IRMS,010 (combustion/reduction organics),"Schepers et al. (1989) Simultaneous determination of total C, total N, and 15N on soil and plant material. Communications in Soil Science and Plant Analysis 20(9-10), 949-959.",,20240104T225302Z,RELEASE-2024
