uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,eventID,processingDate,massSampleIDList,massSampleMixtureID,cnSampleID,cnSampleCode,ligninSampleID,ligninSampleBarcode,archiveSampleID,archiveSampleBarcode,bgcArchiveMass,toxicodendronPossible,remarks,processedBy,publicationDate,release
75c2ce74-509e-4c0f-8eea-a3977f83149b,CLBJ_021.basePlot.ltr,D11,CLBJ,CLBJ_021,2019-11-06,2019-11-20,,2019-11-26,NEON.LTR.CLBJ021073.20191120.LVS,NEON.LTR.CLBJ021.20191120.LVS,NEON.LTR.CLBJ021.20191120.LVS.CN,A00000135359,NEON.LTR.CLBJ021.20191120.LVS.LIG,A00000135360,NEON.LTR.CLBJ021.20191120.LVS.AR,A00000135361,,N,,0000-0003-3895-0725,20240104T224033Z,RELEASE-2024
e1bc7359-7bd3-44a7-92e6-6732cf0a0ee5,CLBJ_023.basePlot.ltr,D11,CLBJ,CLBJ_023,2019-11-06,2019-11-20,,2019-11-26,NEON.LTR.CLBJ023015.20191120.LVS,NEON.LTR.CLBJ023.20191120.LVS,NEON.LTR.CLBJ023.20191120.LVS.CN,A00000135326,NEON.LTR.CLBJ023.20191120.LVS.LIG,A00000135325,"","",,N,,0000-0003-3895-0725,20240104T224033Z,RELEASE-2024
9b3eaf78-e93d-4496-b8f7-4d439d63e3ea,CLBJ_018.basePlot.ltr,D11,CLBJ,CLBJ_018,2019-11-06,2019-11-20,,2019-11-26,NEON.LTR.CLBJ018073.20191120.LVS,NEON.LTR.CLBJ018.20191120.LVS,NEON.LTR.CLBJ018.20191120.LVS.CN,A00000135372,NEON.LTR.CLBJ018.20191120.LVS.LIG,A00000135371,NEON.LTR.CLBJ018.20191120.LVS.AR,A00000135370,,N,,0000-0003-3895-0725,20240104T224033Z,RELEASE-2024
184edb44-f50a-48ed-bb1f-b78d6dbb5b1b,CLBJ_009.basePlot.ltr,D11,CLBJ,CLBJ_009,2019-11-06,2019-11-20,,2019-11-26,NEON.LTR.CLBJ009048.20191120.LVS,NEON.LTR.CLBJ009.20191120.LVS,NEON.LTR.CLBJ009.20191120.LVS.CN,A00000135351,NEON.LTR.CLBJ009.20191120.LVS.LIG,A00000135350,NEON.LTR.CLBJ009.20191120.LVS.AR,A00000135334,,N,,0000-0003-3895-0725,20240104T224033Z,RELEASE-2024
c513fe99-2d64-4e9f-bd11-ecc5d497e500,CLBJ_028.basePlot.ltr,D11,CLBJ,CLBJ_028,2019-11-06,2019-11-20,,2019-11-26,NEON.LTR.CLBJ028018.20191120.LVS,NEON.LTR.CLBJ028.20191120.LVS,NEON.LTR.CLBJ028.20191120.LVS.CN,A00000135328,NEON.LTR.CLBJ028.20191120.LVS.LIG,A00000135329,NEON.LTR.CLBJ028.20191120.LVS.AR,A00000135327,,N,,0000-0003-3895-0725,20240104T224033Z,RELEASE-2024
8fa8b56b-9eac-49fa-849a-572430e347d8,CLBJ_029.basePlot.ltr,D11,CLBJ,CLBJ_029,2019-11-06,2019-11-20,,2019-11-26,NEON.LTR.CLBJ029190.20191120.LVS,NEON.LTR.CLBJ029.20191120.LVS,NEON.LTR.CLBJ029.20191120.LVS.CN,A00000135341,NEON.LTR.CLBJ029.20191120.LVS.LIG,A00000135340,NEON.LTR.CLBJ029.20191120.LVS.AR,A00000135342,,N,,0000-0003-3895-0725,20240104T224033Z,RELEASE-2024
b7ee028d-8d95-4a31-bbf1-40f9f3fac062,CLBJ_012.basePlot.ltr,D11,CLBJ,CLBJ_012,2019-11-06,2019-11-20,,2019-11-26,NEON.LTR.CLBJ012170.20191120.LVS,NEON.LTR.CLBJ012.20191120.LVS,NEON.LTR.CLBJ012.20191120.LVS.CN,A00000135380,NEON.LTR.CLBJ012.20191120.LVS.LIG,A00000135382,NEON.LTR.CLBJ012.20191120.LVS.AR,A00000135381,,N,,0000-0003-3895-0725,20240104T224033Z,RELEASE-2024
1d9eb40e-5516-4521-b4fe-ad8a2be5fe1c,CLBJ_017.basePlot.ltr,D11,CLBJ,CLBJ_017,2019-11-06,2019-11-20,,2019-11-26,NEON.LTR.CLBJ017195.20191120.LVS,NEON.LTR.CLBJ017.20191120.LVS,NEON.LTR.CLBJ017.20191120.LVS.CN,A00000135339,NEON.LTR.CLBJ017.20191120.LVS.LIG,A00000135338,NEON.LTR.CLBJ017.20191120.LVS.AR,A00000135337,,N,,0000-0003-3895-0725,20240104T224033Z,RELEASE-2024
95dc008f-ea82-4bb2-972f-6fcc1230ac2e,CLBJ_011.basePlot.ltr,D11,CLBJ,CLBJ_011,2019-11-06,2019-11-20,,2019-11-26,NEON.LTR.CLBJ011144.20191120.LVS,NEON.LTR.CLBJ011.20191120.LVS,NEON.LTR.CLBJ011.20191120.LVS.CN,A00000135303,NEON.LTR.CLBJ011.20191120.LVS.LIG,A00000135302,NEON.LTR.CLBJ011.20191120.LVS.AR,A00000135319,,N,,0000-0002-3973-0882,20240104T224033Z,RELEASE-2024
02390ce0-8c35-46e2-882e-a4c654f7cd64,CLBJ_008.basePlot.ltr,D11,CLBJ,CLBJ_008,2019-11-06,2019-11-20,,2019-11-26,NEON.LTR.CLBJ008144.20191120.LVS,NEON.LTR.CLBJ008.20191120.LVS,NEON.LTR.CLBJ008.20191120.LVS.CN,A00000135306,NEON.LTR.CLBJ008.20191120.LVS.LIG,A00000135305,NEON.LTR.CLBJ008.20191120.LVS.AR,A00000135304,,N,,0000-0003-3895-0725,20240104T224033Z,RELEASE-2024
1fdf809a-97ef-4379-86d9-84924740f05e,CLBJ_015.basePlot.ltr,D11,CLBJ,CLBJ_015,2019-11-06,2019-11-20,,2019-11-27,NEON.LTR.CLBJ015137.20191120.LVS,NEON.LTR.CLBJ015.20191120.LVS,NEON.LTR.CLBJ015.20191120.LVS.CN,A00000135308,NEON.LTR.CLBJ015.20191120.LVS.LIG,A00000135324,NEON.LTR.CLBJ015.20191120.LVS.AR,A00000135307,,N,,0000-0003-3895-0725,20240104T224033Z,RELEASE-2024
6d703da1-49dd-4609-86f9-9dd6f05a1453,CLBJ_006.basePlot.ltr,D11,CLBJ,CLBJ_006,2019-11-06,2019-11-20,,2019-11-27,NEON.LTR.CLBJ006014.20191120.LVS,NEON.LTR.CLBJ006.20191120.LVS,NEON.LTR.CLBJ006.20191120.LVS.CN,A00000135387,NEON.LTR.CLBJ006.20191120.LVS.LIG,A00000135388,"","",,N,,0000-0003-3895-0725,20240104T224033Z,RELEASE-2024
b3fb3775-f403-45b8-822d-ecab0611e184,CLBJ_002.basePlot.ltr,D11,CLBJ,CLBJ_002,2019-11-06,2019-11-20,,2019-11-27,NEON.LTR.CLBJ002024.20191120.LVS,NEON.LTR.CLBJ002.20191120.LVS,NEON.LTR.CLBJ002.20191120.LVS.CN,A00000135358,NEON.LTR.CLBJ002.20191120.LVS.LIG,A00000135357,NEON.LTR.CLBJ002.20191120.LVS.AR,A00000135356,,N,,0000-0003-3895-0725,20240104T224033Z,RELEASE-2024
34079d0e-5043-4c69-bd21-609fe1259074,CLBJ_022.basePlot.ltr,D11,CLBJ,CLBJ_022,2019-11-06,2019-11-20,,2019-11-27,NEON.LTR.CLBJ022038.20191120.LVS,NEON.LTR.CLBJ022.20191120.LVS,NEON.LTR.CLBJ022.20191120.LVS.CN,A00000135333,NEON.LTR.CLBJ022.20191120.LVS.LIG,A00000135331,NEON.LTR.CLBJ022.20191120.LVS.AR,A00000135321,,N,,0000-0003-3895-0725,20240104T224033Z,RELEASE-2024
