uid,namedLocation,domainID,siteID,plotID,trapID,weighDate,setDate,collectDate,eventID,ovenStartDate,ovenEndDate,fieldSampleID,sampleCondition,massSampleID,samplingProtocolVersion,biogeoSample,functionalGroup,dryMass,qaDryMass,remarks,measuredBy,publicationDate,release
a475f3bf-de7d-4115-b403-c0cffcc7fd6c,CLBJ_015.basePlot.ltr,D11,CLBJ,CLBJ_015,CLBJ_015_137,2019-10-14,2019-08-13,2019-10-07,LTR.2019.CLBJ.07,2019-10-09T00:05Z,2019-10-15T13:10Z,NEON.LTR.CLBJ015137.20191007,,NEON.LTR.CLBJ015137.20191007.WDY,NEON.DOC.001710vG,N,Woody material,1.54,N,,,20240104T224934Z,RELEASE-2024
7fc19c59-5634-4061-8471-c4e071e4e25f,CLBJ_030.basePlot.ltr,D11,CLBJ,CLBJ_030,CLBJ_030_063,2019-10-14,2019-08-13,2019-10-07,LTR.2019.CLBJ.07,2019-10-09T00:05Z,2019-10-15T13:10Z,NEON.LTR.CLBJ030063.20191007,,NEON.LTR.CLBJ030063.20191007.OTH,NEON.DOC.001710vG,N,Other,0.05,N,,,20240104T224934Z,RELEASE-2024
fcfd5fcf-fc6a-4a9e-ae39-23600a5bd62d,CLBJ_029.basePlot.ltr,D11,CLBJ,CLBJ_029,CLBJ_029_190,2019-10-14,2019-08-13,2019-10-07,LTR.2019.CLBJ.07,2019-10-09T00:05Z,2019-10-15T13:10Z,NEON.LTR.CLBJ029190.20191007,,NEON.LTR.CLBJ029190.20191007.SDS,NEON.DOC.001710vG,N,Seeds,1.52,N,,,20240104T224934Z,RELEASE-2024
16782175-6621-49f9-a8a7-76596ad005b9,CLBJ_007.basePlot.ltr,D11,CLBJ,CLBJ_007,CLBJ_007_077,2019-10-14,2019-08-13,2019-10-07,LTR.2019.CLBJ.07,2019-10-09T00:05Z,2019-10-15T13:10Z,NEON.LTR.CLBJ007077.20191007,,NEON.LTR.CLBJ007077.20191007.TWI,NEON.DOC.001710vG,N,Twigs/branches,0.62,N,,,20240104T224934Z,RELEASE-2024
97b93d5e-7abf-4dcd-a663-49d417373285,CLBJ_007.basePlot.ltr,D11,CLBJ,CLBJ_007,CLBJ_007_077,2019-10-14,2019-08-13,2019-10-07,LTR.2019.CLBJ.07,2019-10-09T00:05Z,2019-10-15T13:10Z,NEON.LTR.CLBJ007077.20191007,,NEON.LTR.CLBJ007077.20191007.SDS,NEON.DOC.001710vG,N,Seeds,11.19,N,,,20240104T224934Z,RELEASE-2024
d79f84af-843d-4fc7-8375-968c18a2abef,CLBJ_006.basePlot.ltr,D11,CLBJ,CLBJ_006,CLBJ_006_014,2019-10-14,2019-08-13,2019-10-07,LTR.2019.CLBJ.07,2019-10-09T00:05Z,2019-10-15T13:10Z,NEON.LTR.CLBJ006014.20191007,,NEON.LTR.CLBJ006014.20191007.LVS,NEON.DOC.001710vG,N,Leaves,0.14,N,,,20240104T224934Z,RELEASE-2024
ba106896-8fc0-4559-874c-c63cbc7e4b90,CLBJ_029.basePlot.ltr,D11,CLBJ,CLBJ_029,CLBJ_029_190,2019-10-14,2019-08-13,2019-10-07,LTR.2019.CLBJ.07,2019-10-09T00:05Z,2019-10-15T13:10Z,NEON.LTR.CLBJ029190.20191007,,NEON.LTR.CLBJ029190.20191007.LVS,NEON.DOC.001710vG,N,Leaves,15.06,Y,,,20240104T224934Z,RELEASE-2024
36c6d1b4-14bf-4b1d-8750-c7ee4e4b9a3d,CLBJ_023.basePlot.ltr,D11,CLBJ,CLBJ_023,CLBJ_023_015,2019-10-14,2019-08-13,2019-10-07,LTR.2019.CLBJ.07,2019-10-09T00:05Z,2019-10-15T13:10Z,NEON.LTR.CLBJ023015.20191007,,NEON.LTR.CLBJ023015.20191007.NDL,NEON.DOC.001710vG,N,Needles,0,N,,,20240104T224934Z,RELEASE-2024
be0b8f90-c8f3-42a3-be9d-b1cc9ff48e8c,CLBJ_011.basePlot.ltr,D11,CLBJ,CLBJ_011,CLBJ_011_144,2019-10-14,2019-08-13,2019-10-07,LTR.2019.CLBJ.07,2019-10-09T00:05Z,2019-10-15T13:10Z,NEON.LTR.CLBJ011144.20191007,,NEON.LTR.CLBJ011144.20191007.NDL,NEON.DOC.001710vG,N,Needles,0.06,N,,,20240104T224934Z,RELEASE-2024
f96c006c-52bc-4579-80d2-1ce633112f3c,CLBJ_021.basePlot.ltr,D11,CLBJ,CLBJ_021,CLBJ_021_073,2019-10-14,2019-08-13,2019-10-07,LTR.2019.CLBJ.07,2019-10-09T00:05Z,2019-10-15T13:10Z,NEON.LTR.CLBJ021073.20191007,,NEON.LTR.CLBJ021073.20191007.NDL,NEON.DOC.001710vG,N,Needles,0,N,,,20240104T224934Z,RELEASE-2024
