uid,analyte,analyteUnits,sampleType,qaReferenceID,analyteKnownValue,analyteObservedValue,analyteStandardDeviation,analytePercentRecovery,analyteMetricsCount,qaReportingStartDate,qaReportingEndDate,laboratoryName,instrument,testMethod,method,dataQF,publicationDate,release
fd89070d-be70-4c36-bd3d-b31849d7b933,lignin,percent,Feed Check,FQCFIBER-FC,8.07,8.76,0.53,108.6,48,2022-02-21,2023-02-03,A and L Great Lakes,ANKOM 200,SOP APF-10-024,ANKOM ADF and Lignin Method 8,,20240104T225302Z,RELEASE-2024
5c9c92ee-b3a6-4289-9209-3581081c8406,cellulose,percent,Feed Check,FQCFIBER-FC,26.84,28.6,1.26,106.6,48,2022-02-21,2023-02-03,A and L Great Lakes,ANKOM 200,SOP APF-10-024,ANKOM ADF and Lignin Method 8,,20240104T225302Z,RELEASE-2024
243f7d7a-ff2e-4413-be26-2e447691a449,lignin,percent,Feed Check,FQCFIBER-FC,8.07,8.61,0.55,106.7,16,2021-11-24,2022-01-17,A and L Great Lakes,ANKOM 200,SOP APF-10-024,ANKOM ADF and Lignin Method 8,,20240104T225302Z,RELEASE-2024
e0e87b52-5b4b-4bc3-acd7-cd9fbd30b7db,cellulose,percent,Feed Check,FQCFIBER-FC,26.84,27.87,1.31,103.8,16,2021-11-24,2022-01-17,A and L Great Lakes,ANKOM 200,SOP APF-10-024,ANKOM ADF and Lignin Method 8,,20240104T225302Z,RELEASE-2024
7040059b-18bb-42d8-9a84-051a045108f8,lignin,percent,Feed Check,FQCFIBER-FC,9.32,10.37,0.41,111.2,22,2021-03-30,2021-11-16,A and L Great Lakes,ANKOM 200,SOP APF-10-024,ANKOM ADF and Lignin Method 8,,20240104T225302Z,RELEASE-2024
0e57bfa6-01a4-4b8f-b0c9-d82dffafee09,cellulose,percent,Feed Check,FQCFIBER-FC,26,26.33,0.97,101.3,22,2021-03-30,2021-11-16,A and L Great Lakes,ANKOM 200,SOP APF-10-024,ANKOM ADF and Lignin Method 8,,20240104T225302Z,RELEASE-2024
b378e07d-7faf-44e5-b0ce-08f29abb4d86,cellulose,percent,Feed Check,FQCFIBER-FC,26,25.9,0.71,99.6,59,2019-12-23,2020-12-10,A and L Great Lakes,ANKOM 200,SOP APF-10-024,ANKOM ADF and Lignin Method 8,,20240104T225302Z,RELEASE-2024
e74f5895-327e-40b0-abff-17a965f8816f,lignin,percent,Wheat Straw,FQCFIBER-WS,10.38,9.45,0.76,91.1,28,2019-07-03,2019-12-06,A and L Great Lakes,ANKOM 200,SOP APF-10-024,ANKOM ADF and Lignin Method 8,,20240104T225302Z,RELEASE-2024
5cfee45b-0772-4cc1-bc3e-33537b2b9055,lignin,percent,Feed Check,FQCFIBER-FC,9.32,9.77,0.72,104.8,59,2019-12-23,2020-12-10,A and L Great Lakes,ANKOM 200,SOP APF-10-024,ANKOM ADF and Lignin Method 8,,20240104T225302Z,RELEASE-2024
490fde5a-9bfd-484f-8e39-fedbfff14bb4,cellulose,percent,Wheat Straw,FQCFIBER-WS,42.33,41.5,1.01,98,28,2019-07-03,2019-12-06,A and L Great Lakes,ANKOM 200,SOP APF-10-024,ANKOM ADF and Lignin Method 8,,20240104T225302Z,RELEASE-2024
