uid,namedLocation,domainID,siteID,plotID,subplotID,startDate,endDate,flightYear,totalSampledArea,qualifyingVegetationArea,qualifyingVegetationPercent,dataQF,publicationDate,release
d8ca324e-a3b1-41e2-a81b-6472f48126cd,CLBJ_020.basePlot.ltr,D11,CLBJ,CLBJ_020,31_400,2016-04-22,2016-04-22,2016,400,0,0,,20240104T224934Z,RELEASE-2024
f006c0e7-8b20-4b2a-af47-dbef25914a0d,CLBJ_016.basePlot.ltr,D11,CLBJ,CLBJ_016,31_400,2016-04-22,2016-04-22,2016,400,238,59.5,,20240104T224934Z,RELEASE-2024
7ed21c95-c74e-4d64-99c7-a3608e8c9150,CLBJ_023.basePlot.ltr,D11,CLBJ,CLBJ_023,31_400,2016-04-22,2016-04-22,2016,400,79,19.75,,20240104T224934Z,RELEASE-2024
4d438113-8982-45c3-bf73-1354e4c2fc38,CLBJ_029.basePlot.ltr,D11,CLBJ,CLBJ_029,31_400,2016-04-22,2016-04-22,2016,400,335,83.75,,20240104T224934Z,RELEASE-2024
45e1e988-fb58-44b3-96d7-c6bd46130f75,CLBJ_030.basePlot.ltr,D11,CLBJ,CLBJ_030,31_400,2016-04-22,2016-04-22,2016,400,3,0.75,,20240104T224934Z,RELEASE-2024
e39c7500-fa97-4f67-82c9-4306b41cc1c6,CLBJ_013.basePlot.ltr,D11,CLBJ,CLBJ_013,31_400,2016-04-22,2016-04-22,2016,400,0,0,,20240104T224934Z,RELEASE-2024
339708a2-04bb-47dc-b463-770c01876127,CLBJ_008.basePlot.ltr,D11,CLBJ,CLBJ_008,31_400,2016-04-22,2016-04-22,2016,400,372,93,,20240104T224934Z,RELEASE-2024
dd804aba-e72e-4068-8565-e04ade00cb12,CLBJ_015.basePlot.ltr,D11,CLBJ,CLBJ_015,31_400,2016-04-22,2016-04-22,2016,400,327,81.75,,20240104T224934Z,RELEASE-2024
133c3add-58de-4248-9c3e-3c60cbb5b9de,CLBJ_011.basePlot.ltr,D11,CLBJ,CLBJ_011,31_400,2016-04-22,2016-04-22,2016,400,339,84.75,,20240104T224934Z,RELEASE-2024
cdee3072-bea3-474a-a101-6ed42486594a,CLBJ_009.basePlot.ltr,D11,CLBJ,CLBJ_009,31_400,2016-04-22,2016-04-22,2016,400,217,54.25,,20240104T224934Z,RELEASE-2024
1dc9fe6d-e07c-46f3-920a-cc228263eb33,CLBJ_010.basePlot.ltr,D11,CLBJ,CLBJ_010,31_400,2016-04-22,2016-04-22,2016,400,69,17.25,,20240104T224934Z,RELEASE-2024
49adf57d-8df3-42ce-ae4d-cbd289623ff3,CLBJ_027.basePlot.ltr,D11,CLBJ,CLBJ_027,31_400,2016-04-22,2016-04-22,2016,400,400,100,,20240104T224934Z,RELEASE-2024
a9cbe2bd-4d12-4ca5-a211-d4e50735cd21,CLBJ_024.basePlot.ltr,D11,CLBJ,CLBJ_024,31_400,2016-04-22,2016-04-22,2016,400,21,5.25,,20240104T224934Z,RELEASE-2024
b07369c3-dde1-4f1c-9e41-82dd9f87caae,CLBJ_022.basePlot.ltr,D11,CLBJ,CLBJ_022,31_400,2016-04-22,2016-04-22,2016,400,238,59.5,,20240104T224934Z,RELEASE-2024
756a3e39-99cb-417a-b0da-b2f9f74188ac,CLBJ_001.basePlot.ltr,D11,CLBJ,CLBJ_001,31_400,2016-04-22,2016-04-22,2016,400,0,0,,20240104T224934Z,RELEASE-2024
d46c81ac-d331-47fe-8a85-a81496055c6a,CLBJ_019.basePlot.ltr,D11,CLBJ,CLBJ_019,31_400,2016-04-22,2016-04-22,2016,400,14,3.5,,20240104T224934Z,RELEASE-2024
ed06cd66-d749-44ad-8368-c68acd7bb5ba,CLBJ_002.basePlot.ltr,D11,CLBJ,CLBJ_002,31_400,2016-04-22,2016-04-22,2016,400,334,83.5,,20240104T224934Z,RELEASE-2024
2550e8b1-fea9-4427-a38a-dee447a4b538,CLBJ_012.basePlot.ltr,D11,CLBJ,CLBJ_012,31_400,2016-04-22,2016-04-22,2016,400,397,99.25,,20240104T224934Z,RELEASE-2024
cbd5a1d9-679c-419f-b024-c29b6e79bae3,CLBJ_005.basePlot.ltr,D11,CLBJ,CLBJ_005,31_400,2016-04-22,2016-04-22,2016,400,353,88.25,,20240104T224934Z,RELEASE-2024
d9fc8ca5-8c93-4bf7-a573-f8e720a2c435,CLBJ_003.basePlot.ltr,D11,CLBJ,CLBJ_003,31_400,2016-04-22,2016-04-22,2016,400,299,74.75,,20240104T224934Z,RELEASE-2024
c0ec3ab7-d977-4bee-b724-10b69c584a4a,CLBJ_018.basePlot.ltr,D11,CLBJ,CLBJ_018,31_400,2016-04-22,2016-04-22,2016,400,111,27.75,,20240104T224934Z,RELEASE-2024
367f424b-9b46-477e-9c91-33153a1772f1,CLBJ_006.basePlot.ltr,D11,CLBJ,CLBJ_006,31_400,2016-04-22,2016-04-22,2016,400,25,6.25,,20240104T224934Z,RELEASE-2024
afd1410e-6bc7-449e-bd11-99a208409a6b,CLBJ_007.basePlot.ltr,D11,CLBJ,CLBJ_007,31_400,2016-04-22,2016-04-22,2016,400,278,69.5,,20240104T224934Z,RELEASE-2024
efeeed4d-a25e-4b4e-b839-94b39b7fc545,CLBJ_028.basePlot.ltr,D11,CLBJ,CLBJ_028,31_400,2016-04-22,2016-04-22,2016,400,380,95,,20240104T224934Z,RELEASE-2024
950f732d-496c-46da-aba1-39a2e018c612,CLBJ_021.basePlot.ltr,D11,CLBJ,CLBJ_021,31_400,2016-04-22,2016-04-22,2016,400,400,100,,20240104T224934Z,RELEASE-2024
